gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
1979,5,0,1,1,True
592,-3,0,1,1,True
-609,-1,1,1,0,False
1510,2,0,1,0,True
-819,-2,1,1,1,False
74,-2,0,0,0,False
1230,3,0,0,1,False
-648,1,1,1,0,False
1065,2,0,1,0,True
2284,3,0,0,0,True
-5,-1,0,1,1,True
2018,2,0,1,1,True
-1609,-2,1,0,0,False
466,3,1,1,1,True
-424,3,1,0,0,True
3408,5,0,1,1,True
-2966,-3,1,0,0,False
555,-1,0,0,1,False
-1205,-3,0,1,0,True
3140,4,1,0,1,True
4189,8,0,1,0,True
2163,6,0,0,1,True
2033,2,0,1,1,True
1460,2,1,1,1,False
504,2,1,1,0,True
-3549,-8,1,0,0,False
453,0,1,0,0,False
2928,9,0,0,1,True
1778,3,1,0,1,True
3397,6,0,0,1,True
2384,2,0,1,0,True
-2662,-7,1,0,0,True
2904,3,0,1,1,True
-1039,-3,0,1,0,True
264,-2,0,1,0,True
-70,-3,1,1,1,True
-1187,-5,0,0,1,True
1304,1,1,1,0,True
-1300,-2,0,1,1,True
-2042,-6,1,0,0,False
-289,0,0,1,1,False
127,1,0,1,1,True
303,-2,0,0,0,True
1074,0,1,1,1,True
926,1,1,0,0,True
-1084,-3,1,1,0,False
-382,0,1,0,0,True
2794,8,0,1,1,True
-1327,-4,1,0,1,True
-3075,-6,1,0,0,False
-1206,-5,1,0,0,False
1185,2,1,1,0,True
574,4,1,1,0,True
1949,4,0,0,1,False
877,0,1,0,1,False
1025,-2,0,1,0,True
-746,0,1,0,0,False
26,1,1,1,0,True
2917,10,0,1,1,True
1285,2,0,0,1,True
-3848,-7,1,0,0,False
-3277,-5,1,0,0,False
-235,2,1,1,0,False
-48,5,1,1,1,False
-653,-1,0,1,0,True
-388,-2,1,1,0,False
1991,6,0,0,1,True
-1448,-2,1,0,0,True
-1047,-3,1,0,0,False
-4292,-8,1,0,0,True
3937,3,0,1,1,True
-2361,-4,1,1,0,True
3862,10,1,0,1,True
2447,4,0,1,1,True
3657,7,0,0,0,True
1103,2,1,0,1,False
-333,0,1,0,1,False
-214,-1,1,1,0,False
3413,8,0,1,0,True
3773,5,0,1,1,True
-2073,-4,1,0,0,False
552,0,1,0,0,False
1691,5,1,1,0,False
1202,2,1,1,0,True
-1198,-3,0,0,0,False
1382,2,0,0,0,False
-1712,-5,1,1,0,False
110,0,0,1,0,True
316,3,1,0,0,False
3117,7,0,1,0,False
-1614,-3,1,1,1,False
48,4,1,1,1,True
-1570,-3,1,1,0,False
1572,4,0,1,0,False
2138,4,1,0,0,True
-752,-1,1,0,1,False
1492,0,0,0,1,True
-353,-1,1,0,0,False
-1365,-1,1,0,0,False
2228,5,0,1,1,True
16,1,0,0,1,True
-2845,-4,1,0,0,True
-1349,-3,1,1,0,True
1876,4,0,0,1,True
481,2,0,1,0,True
115,-3,1,0,1,True
1634,4,0,1,1,True
-405,-3,0,1,0,True
-52,-1,0,0,1,True
-4544,-9,1,0,0,False
-281,3,1,1,1,True
-437,-2,1,1,0,True
-3325,-2,1,0,0,False
3928,5,0,1,1,True
-2337,-5,1,0,1,False
179,0,0,0,0,True
-173,-2,1,0,0,True
50,0,1,1,0,False
-1286,-1,1,0,1,False
443,3,1,1,1,True
473,1,1,0,0,True
225,1,1,1,0,True
-1961,-5,1,0,0,False
4440,9,0,1,1,True
2640,5,0,1,1,True
2457,4,0,1,1,True
3807,9,0,1,1,True
-1147,-2,1,1,0,False
461,1,1,1,1,True
5069,11,0,1,0,True
-217,-1,0,0,1,True
-3240,-9,1,0,0,True
2123,9,0,1,1,True
-439,-5,0,0,1,False
1004,3,0,1,0,False
1088,2,0,1,1,True
346,5,1,0,0,True
1355,1,1,1,0,True
3064,10,1,1,0,True
-789,-2,1,0,1,True
146,0,0,0,1,True
-613,0,1,0,1,True
-173,1,0,0,1,True
224,3,1,1,1,False
